# Table 1 from Gyldenkerne et al. (1975)
# Measurements of HS Hya in instrumental system
# HS Hya   A&A 42, pp. 303-309 (1975)
# npts      JD0        Period
# 533 2441374.5934   1.568035
#   HJD-2440000   phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 n   dd   dm     phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 73 1373 0.55797  0.33839    1.942  0.275  0.014 -0.729  2.217  2.505  2.065
 73 1373 0.57715  0.35062    1.948  0.271  0.014 -0.724  2.219  2.503  2.064
 73 1373 0.58312  0.35443    1.953  0.268  0.011 -0.717  2.221  2.500  2.062
 73 1373 0.58930  0.35837    1.960  0.249  0.044 -0.748  2.210  2.503  2.048
 73 1373 0.61341  0.37374    1.948  0.268  0.014 -0.725  2.217  2.500  2.058
 73 1373 0.61986  0.37786    1.955  0.264  0.020 -0.724  2.219  2.503  2.063
 73 1373 0.62744  0.38269    1.938  0.282 -0.005 -0.722  2.220  2.498  2.053
 73 1373 0.63444  0.38716    1.953  0.264  0.022 -0.722  2.217  2.504  2.069
 73 1373 0.64223  0.39212    1.942  0.273  0.008 -0.731  2.215  2.496  2.047
 73 1373 0.64572  0.39435    1.957  0.261  0.023 -0.726  2.218  2.503  2.061
 73 1373 0.66402  0.40602    1.950  0.270  0.011 -0.732  2.220  2.501  2.050
 73 1373 0.66936  0.40943    1.936  0.281  0.006 -0.733  2.217  2.504  2.058
 73 1373 0.67593  0.41362    1.950  0.272  0.010 -0.725  2.223  2.505  2.062
 73 1373 0.68050  0.41653    1.947  0.269  0.019 -0.728  2.216  2.504  2.065
 73 1373 0.68456  0.41912    1.952  0.265  0.021 -0.731  2.218  2.504  2.059
 73 1373 0.68878  0.42181    1.954  0.264  0.022 -0.726  2.218  2.504  2.064
 73 1373 0.69790  0.42763    1.947  0.265  0.028 -0.738  2.212  2.505  2.060
 73 1373 0.71795  0.44041    1.960  0.250  0.041 -0.732  2.210  2.501  2.060
 73 1373 0.72322  0.44378    1.954  0.260  0.034 -0.739  2.214  2.508  2.064
 73 1373 0.73569  0.45173    1.984  0.248  0.035 -0.728  2.231  2.514  2.068
 73 1373 0.74180  0.45562    1.975  0.263  0.025 -0.731  2.238  2.525  2.081
 73 1373 0.74804  0.45960    2.000  0.269  0.013 -0.728  2.268  2.550  2.104
 73 1373 0.75334  0.46298    2.020  0.269  0.015 -0.718  2.289  2.572  2.137
 73 1373 0.75967  0.46702    2.072  0.259  0.020 -0.724  2.331  2.610  2.165
 73 1373 0.76523  0.47057    2.074  0.291 -0.005 -0.728  2.365  2.652  2.211
 73 1373 0.77056  0.47397    2.144  0.265  0.020 -0.729  2.409  2.694  2.249
 73 1373 0.77636  0.47766    2.203  0.255  0.022 -0.712  2.458  2.736  2.301
 73 1373 0.78247  0.48156    2.246  0.265  0.024 -0.734  2.511  2.800  2.356
 73 1373 0.78884  0.48562    2.305  0.264  0.017 -0.721  2.569  2.851  2.411
 73 1373 0.79665  0.49060    2.363  0.269  0.013 -0.728  2.632  2.914  2.469
 73 1373 0.80404  0.49532    2.406  0.261  0.026 -0.720  2.667  2.953  2.520
 73 1373 0.80917  0.49859    2.432  0.265  0.017 -0.734  2.697  2.979  2.528
 73 1373 0.81633  0.50316    2.418  0.264  0.025 -0.729  2.683  2.972  2.533
 73 1373 0.82321  0.50754    2.397  0.255  0.027 -0.708  2.652  2.935  2.509
 73 1373 0.82895  0.51120    2.341  0.275  0.000 -0.720  2.616  2.892  2.447
 73 1373 0.83537  0.51530    2.304  0.260  0.021 -0.722  2.564  2.845  2.403
 73 1373 0.84158  0.51926    2.224  0.274  0.005 -0.711  2.499  2.778  2.346
 73 1373 0.84787  0.52327    2.175  0.271  0.002 -0.717  2.447  2.720  2.276
 73 1373 0.85419  0.52730    2.136  0.256  0.021 -0.714  2.392  2.669  2.232
 73 1373 0.86004  0.53103    2.080  0.270  0.009 -0.724  2.350  2.628  2.182
 73 1373 0.86775  0.53595    2.047  0.259  0.018 -0.721  2.307  2.584  2.141
 73 1373 0.87463  0.54034    2.019  0.254  0.026 -0.735  2.273  2.553  2.098
 73 1373 0.88046  0.54405    1.961  0.282  0.004 -0.735  2.243  2.529  2.080
 73 1373 0.88598  0.54757    1.955  0.272  0.012 -0.721  2.227  2.511  2.074
 74 1374 0.53885  0.96394    2.058  0.245  0.043 -0.741  2.304  2.593  2.141
 74 1374 0.54377  0.96707    2.061  0.283 -0.004 -0.728  2.345  2.624  2.176
 74 1374 0.54834  0.96999    2.109  0.275  0.009 -0.728  2.384  2.668  2.223
 74 1374 0.55286  0.97287    2.157  0.256  0.030 -0.737  2.413  2.699  2.248
 74 1374 0.55749  0.97582    2.183  0.268  0.021 -0.736  2.451  2.741  2.294
 74 1374 0.56223  0.97885    2.229  0.274  0.014 -0.728  2.502  2.790  2.349
 74 1374 0.56732  0.98209    2.291  0.254  0.039 -0.758  2.545  2.838  2.372
 74 1374 0.57138  0.98468    2.300  0.291  0.000 -0.743  2.591  2.882  2.430
 74 1374 0.57595  0.98760    2.342  0.287  0.006 -0.745  2.629  2.922  2.469
 74 1374 0.58052  0.99051    2.400  0.273  0.019 -0.737  2.673  2.966  2.521
 74 1374 0.58521  0.99350    2.452  0.268  0.024 -0.745  2.720  3.013  2.560
 74 1374 0.59030  0.99675    2.459  0.286  0.010 -0.744  2.745  3.041  2.593
 74 1374 0.59516  0.99985    2.484  0.279  0.019 -0.752  2.764  3.061  2.607
 74 1374 0.60025  0.00309    2.480  0.270  0.026 -0.744  2.750  3.046  2.598
 74 1374 0.60482  0.00601    2.457  0.271  0.024 -0.750  2.729  3.024  2.569
 74 1374 0.60899  0.00867    2.421  0.269  0.026 -0.739  2.690  2.985  2.542
 74 1374 0.61779  0.01428    2.339  0.262  0.034 -0.739  2.601  2.896  2.453
 74 1374 0.62190  0.01690    2.293  0.273  0.013 -0.728  2.566  2.851  2.409
 74 1374 0.62606  0.01955    2.236  0.269  0.033 -0.756  2.506  2.807  2.353
 74 1374 0.63613  0.02598    2.164  0.266  0.019 -0.747  2.430  2.715  2.253
 74 1374 0.64208  0.02977    2.111  0.260  0.024 -0.726  2.371  2.656  2.214
 74 1374 0.64828  0.03372    2.070  0.261  0.017 -0.726  2.331  2.609  2.162
 74 1374 0.65263  0.03650    2.039  0.255  0.025 -0.711  2.294  2.574  2.143
 74 1374 0.65708  0.03934    2.016  0.260  0.020 -0.725  2.276  2.556  2.110
 74 1374 0.66136  0.04207    1.992  0.261  0.018 -0.715  2.253  2.532  2.095
 74 1374 0.66536  0.04462    1.987  0.254  0.039 -0.736  2.241  2.533  2.089
 74 1374 0.66935  0.04716    1.963  0.264  0.017 -0.725  2.227  2.508  2.064
 74 1374 0.67357  0.04985    1.957  0.267  0.009 -0.721  2.224  2.499  2.054
 74 1374 0.67763  0.05244    1.949  0.271  0.009 -0.721  2.220  2.501  2.060
 74 1374 0.68260  0.05561    1.948  0.273  0.005 -0.705  2.221  2.498  2.071
 74 1374 0.68735  0.05864    1.953  0.263  0.017 -0.711  2.216  2.497  2.067
 74 1374 0.69151  0.06129    1.952  0.268  0.016 -0.729  2.220  2.504  2.059
 74 1374 0.70072  0.06717    1.949  0.263  0.030 -0.742  2.213  2.506  2.057
 74 1374 0.70552  0.07023    1.935  0.275  0.005 -0.734  2.210  2.490  2.036
 74 1374 0.70905  0.07248    1.959  0.262  0.019 -0.722  2.220  2.501  2.061
 74 1374 0.71316  0.07510    1.958  0.265  0.014 -0.725  2.222  2.501  2.054
 74 1374 0.71738  0.07779    1.945  0.275  0.004 -0.716  2.219  2.497  2.060
 74 1374 0.72138  0.08034    1.955  0.263  0.023 -0.728  2.218  2.504  2.062
 74 1374 0.72560  0.08303    1.946  0.264  0.025 -0.726  2.210  2.499  2.062
 74 1374 0.72994  0.08580    1.965  0.252  0.024 -0.707  2.217  2.493  2.063
 74 1374 0.73445  0.08868    1.950  0.268  0.010 -0.713  2.218  2.496  2.061
 74 1374 0.73879  0.09145    1.936  0.277  0.008 -0.726  2.213  2.498  2.058
 74 1374 0.75014  0.09868    1.946  0.268  0.016 -0.729  2.215  2.499  2.055
 74 1374 0.75135  0.09946    1.950  0.271  0.007 -0.730  2.221  2.499  2.047
