hjd,camera,filter,mag,mag err,flux (mJy),flux err
2456675.89481,bc,V,8.581,0.02,1452.684,26.729
2457536.57796,bh,V,9.928,0.02,377.82,6.952
2457018.73455,bf,V,8.589,0.02,1383.461,25.456
2456969.83372,bf,V,8.627,0.02,1335.836,24.579
2458180.78784,bg,V,8.918,0.02,1039.677,19.13
2458052.87623,bg,V,8.909,0.02,1047.415,19.272
2457700.82157,bg,V,8.646,0.02,1334.514,24.555
2457445.85682,bh,V,8.652,0.02,1222.715,22.498
2457425.79784,bg,V,8.335,0.02,1777.885,32.713
2457389.87189,bh,V,8.623,0.02,1256.542,23.12
2457203.47656,bf,V,8.612,0.02,1354.482,24.922
2457065.85402,be,V,8.591,0.02,1595.773,29.362
2456835.47642,bf,V,8.406,0.02,1637.566,30.131
2456641.00055,bd,V,8.551,0.02,1663.688,30.612
2458139.00341,bd,V,8.592,0.02,1602.458,29.485
2457818.83545,bh,V,8.739,0.02,1129.474,20.782
2457784.97764,bc,V,8.603,0.02,1423.464,26.192
2457005.7725,be,V,8.586,0.02,1603.068,29.496
2458124.03786,bd,V,8.59,0.02,1603.491,29.504
2457869.66361,bh,V,8.458,0.02,1462.872,26.917
2457851.72276,bh,V,8.481,0.02,1432.202,26.353
2457479.63371,bg,V,8.404,0.02,1667.694,30.686
2457413.72369,bh,V,8.564,0.02,1326.792,24.413
2457353.84741,bh,V,8.589,0.02,1296.312,23.852
2457183.52314,bf,V,8.607,0.02,1361.02,25.043
2458136.79456,bg,V,8.668,0.02,1308.455,24.076
2458076.82918,bh,V,8.512,0.02,1390.979,25.594
2457762.81381,bh,V,8.605,0.02,1277.151,23.5
2457448.79339,bh,V,8.58,0.02,1307.264,24.054
2457100.79559,bf,V,8.646,0.02,1312.78,24.155
2457076.99585,bc,V,8.532,0.02,1520.752,27.982
2456975.79127,be,V,8.695,0.02,1450.269,26.685
2456959.85529,bf,V,8.605,0.02,1363.597,25.09
2457858.56808,bg,V,8.554,0.02,1452.984,26.735
2457557.53654,bh,V,8.636,0.02,1241.474,22.843
2457901.57609,bh,V,8.436,0.02,1492.03,27.453
2457895.59885,bg,V,8.678,0.02,1296.578,23.857
2457832.85193,bd,V,8.594,0.02,1599.517,29.431
2457759.02244,bc,V,8.597,0.02,1432.091,26.35
2457472.86043,bd,V,8.692,0.02,1461.503,26.892
2457442.81381,bg,V,8.375,0.02,1713.838,31.535
2457434.69846,bg,V,8.393,0.02,1685.286,31.009
2457136.5604,be,V,8.552,0.02,1654.164,30.437
2457012.09853,bd,V,8.524,0.02,1705.244,31.376
2456948.87787,bf,V,8.689,0.02,1262.736,23.234
2458133.01498,bd,V,8.641,0.02,1531.591,28.181
2458069.85213,bg,V,8.724,0.02,1242.372,22.86
