,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,156.1531215,-19.0924753,b'10h24m36.75s',b'-19d05m32.91s',0.0359,0.0304,-0.0032,6.524,0.04,27.0,2.501,6.84,0.015,70.4,6.36,1,0,0000,AAXX,0,55538.007205,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.272251,281.208606
1,156.1530143,-19.0924733,b'10h24m36.72s',b'-19d05m32.90s',0.0361,0.035,-0.0069,6.541,0.045,24.0,1.431,6.912,0.017,64.9,10.93,1,0,0000,AAXX,0,55538.139382,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.634597,275.436142
2,156.1531805,-19.0924888,b'10h24m36.76s',b'-19d05m32.96s',0.0471,0.0348,0.0078,6.615,0.059,18.4,1.085,6.834,0.019,58.5,1.688,1,0,0000,AAXX,0,55538.271686,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.066492,273.725873
3,156.1532375,-19.0924623,b'10h24m36.78s',b'-19d05m32.86s',0.0395,0.0417,0.0064,6.34,0.047,23.1,1.884,6.734,0.018,61.3,3.282,1,0,0000,AAXX,0,55538.337775,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.161911,51.986526
4,156.1532231,-19.0924633,b'10h24m36.77s',b'-19d05m32.87s',0.0416,0.0314,-0.0107,6.436,0.05,21.5,1.571,6.854,0.018,61.3,3.577,1,0,0000,AAXX,0,55538.40399,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.124167,39.268655
5,156.1531534,-19.0924731,b'10h24m36.76s',b'-19d05m32.90s',0.0398,0.0408,-0.005,6.421,0.032,33.7,0.8118,6.899,0.021,50.6,2.749,1,0,0000,AAXX,0,55538.470079,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.1698,290.995372
6,156.1531752,-19.0924781,b'10h24m36.76s',b'-19d05m32.92s',0.0493,0.0484,0.0182,6.447,0.042,26.1,6.568,6.823,0.026,42.5,1.165,1,0,0000,AAXX,0,55538.536167,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.094634,296.9201
7,156.1531305,-19.0924623,b'10h24m36.75s',b'-19d05m32.86s',0.0428,0.0506,-0.0203,6.57,0.046,23.5,2.362,6.917,0.023,46.9,4.578,1,0,0000,AAXX,0,55538.536295,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.256603,292.868131
8,156.1530451,-19.0924335,b'10h24m36.73s',b'-19d05m32.76s',0.0462,0.0435,0.0085,6.532,0.053,20.7,0.8054,6.826,0.022,49.0,5.183,1,0,0000,AAXX,0,55538.602383,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.564854,291.105748
9,156.1532196,-19.0924375,b'10h24m36.77s',b'-19d05m32.77s',0.0277,0.0284,-0.003,6.654,0.034,31.5,2.408,6.806,0.015,74.3,4.762,1,0,0000,AAXX,0,55538.668472,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.20042,19.432692
10,156.1531104,-19.0924015,b'10h24m36.75s',b'-19d05m32.65s',0.0414,0.0371,0.0126,6.518,0.059,18.4,0.6547,6.731,0.018,59.5,10.67,1,0,0000,AAXX,0,55538.73456,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.440928,316.266554
11,156.1531622,-19.0923547,b'10h24m36.76s',b'-19d05m32.48s',0.0319,0.0378,-0.0035,6.571,0.045,24.2,1.359,6.796,0.017,64.5,13.04,1,0,0000,AAXX,0,55538.734688,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.503768,345.210721
12,156.1530953,-19.0924224,b'10h24m36.74s',b'-19d05m32.72s',0.0519,0.0443,-0.0088,6.453,0.057,19.1,1.266,7.054,0.026,41.2,3.453,1,0,0000,AAXX,0,55538.866865,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.431387,304.342349
13,156.1531432,-19.0924785,b'10h24m36.75s',b'-19d05m32.92s',0.0398,0.0471,0.0052,6.57,0.043,25.0,1.568,6.966,0.026,41.1,3.391,1,0,0000,AAXX,0,55538.999169,1280239865,7.206,0.021,7.034,0.034,6.957,0.016,0.19762,282.092808
