,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
0,156.1531263,-19.0925297,b'10h24m36.75s',b'-19d05m33.11s',0.0284,0.0305,0.0102,6.738,0.034,32.4,3.751,6.934,0.013,85.6,2.023,1,0,0000,AA,10,56810.17299664,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.288606,240.315702
1,156.1530553,-19.0925066,b'10h24m36.73s',b'-19d05m33.02s',0.0293,0.0299,-0.008,6.428,0.026,41.5,8.778,6.895,0.013,80.7,7.713,1,0,0000,AA,10,56810.30453647,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.495877,263.078253
2,156.1532187,-19.0924829,b'10h24m36.77s',b'-19d05m32.94s',0.0233,0.0222,-0.0065,6.614,0.026,41.1,4.703,6.884,0.011,97.6,7.254,1,0,0000,AA,10,56810.43620365,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.06859,68.110711
3,156.1531398,-19.0925509,b'10h24m36.75s',b'-19d05m33.18s',0.0265,0.027,-0.0105,6.771,0.023,46.4,2.776,6.873,0.012,88.5,2.576,1,0,0000,AA,10,56810.56774337,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.300017,223.049431
4,156.1532077,-19.0925022,b'10h24m36.77s',b'-19d05m33.01s',0.0249,0.0253,-0.0071,6.625,0.028,38.4,3.12,6.915,0.013,82.0,3.535,1,0,0000,AA,10,56810.63357686,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.051155,149.186916
5,156.1531552,-19.0925441,b'10h24m36.76s',b'-19d05m33.16s',0.0276,0.0251,-0.0114,6.571,0.029,37.3,3.517,6.885,0.013,85.2,3.128,1,0,0000,AA,10,56810.69941045,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.247304,218.044733
6,156.1531303,-19.0925993,b'10h24m36.75s',b'-19d05m33.36s',0.0271,0.029,-0.0074,7.033,0.019,57.3,70.91,6.902,0.014,77.9,7.79,1,0,0000,AA,10,56810.76511672,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.459406,211.073819
7,156.1530526,-19.0925569,b'10h24m36.73s',b'-19d05m33.20s',0.0247,0.027,-0.0145,6.621,0.025,43.8,3.315,6.842,0.012,92.8,11.11,1,0,0000,AA,10,56810.83095031,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.556285,244.345614
8,156.15317340000001,-19.0925536,b'10h24m36.76s',b'-19d05m33.19s',0.0282,0.0277,-0.0139,6.474,0.028,38.8,5.251,6.816,0.014,79.6,4.129,1,0,0000,AA,10,56810.89678448,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.246194,201.56553
9,156.1532219,-19.0925574,b'10h24m36.77s',b'-19d05m33.21s',0.0326,0.03,-0.0113,6.54,0.032,34.4,4.359,6.93,0.015,74.6,15.9,1,0,0000,AA,10,56811.02832425,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.253827,162.930786
10,156.1528554,-19.0921577,b'10h24m36.69s',b'-19d05m31.77s',0.0212,0.0172,-0.0116,6.79,0.016,66.2,193.6,6.725,0.009,123.5,277.5,1,0,0000,AA,10,56811.15999142,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,1.67494,315.579505
11,156.153165,-19.0925353,b'10h24m36.76s',b'-19d05m33.13s',0.0291,0.0263,-0.0108,6.474,0.021,50.6,6.811,6.864,0.013,85.7,1.924,1,0,0000,AA,10,56811.29153119,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.201923,216.134148
12,156.1531812,-19.0925813,b'10h24m36.76s',b'-19d05m33.29s',0.0248,0.0242,-0.0074,6.425,0.03,36.1,4.819,6.856,0.011,95.5,6.844,1,0,0000,AA,5,56814.31822006,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.334852,191.011437
13,156.1530722,-19.0924712,b'10h24m36.74s',b'-19d05m32.90s',0.03,0.0333,-0.0086,6.388,0.03,36.0,4.569,6.894,0.012,89.3,4.755,1,0,0000,AA,10,56999.96264123,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.440006,278.848076
14,156.153092,-19.0924353,b'10h24m36.74s',b'-19d05m32.77s',0.0278,0.0253,-0.0089,6.56,0.032,33.6,3.164,6.863,0.012,87.6,5.851,1,0,0000,AA,10,57000.09418161,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.416853,298.18968
15,156.1530849,-19.0924246,b'10h24m36.74s',b'-19d05m32.73s',0.0276,0.0286,-0.0122,6.485,0.03,36.7,2.732,6.844,0.013,81.8,4.969,1,0,0000,AA,10,57000.22559463,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.456901,301.01749
16,156.1530836,-19.092423,b'10h24m36.74s',b'-19d05m32.72s',0.0275,0.0257,-0.0105,6.56,0.027,40.6,2.683,6.902,0.012,92.2,4.665,1,0,HH00,AA,10,57000.29130116,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.463663,301.345874
17,156.1531956,-19.0924858,b'10h24m36.77s',b'-19d05m32.95s',0.0247,0.025,-0.0095,6.772,0.021,51.4,2.765,6.853,0.011,94.7,3.962,1,0,0000,AA,10,57000.35700769,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.021294,315.288164
18,156.1532081,-19.0924896,b'10h24m36.77s',b'-19d05m32.96s',0.0287,0.0312,-0.0097,6.578,0.024,44.8,5.927,6.807,0.014,76.4,17.48,1,0,0d00,AA,10,57000.42271422,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.027662,87.0086
