 HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
 2034.50285 8.366 8.742 8.456 8.384 8.369 0.046 0.047 0.034 0.035 0.040 B 18595
 1904.85066 8.048 8.007 8.036 8.032 8.046 0.029 0.037 0.025 0.022 0.024 A 3920
 1958.66634 8.057 8.022 8.056 8.046 8.065 0.027 0.037 0.035 0.025 0.027 A 10213
 2034.50285 8.366 8.400 8.441 8.389 8.373 0.046 0.047 0.034 0.035 0.040 B 18595
 2038.48650 8.066 8.083 8.062 8.054 8.065 0.035 0.060 0.028 0.025 0.028 A 19049
 3056.74499 8.024 8.038 8.044 8.042 8.026 0.030 0.030 0.027 0.023 0.026 A 91716
 3072.78395 8.066 8.064 8.053 8.059 8.056 0.032 0.029 0.026 0.026 0.029 A 93783
 3097.66388 8.024 8.041 8.041 8.037 8.043 0.051 0.053 0.048 0.049 0.050 B 96819
 3130.61222 8.034 8.033 8.028 8.040 8.031 0.035 0.035 0.027 0.025 0.029 A 101476
 3132.60787 8.057 8.049 8.071 8.058 8.054 0.031 0.036 0.026 0.023 0.025 A 101809
 3158.52153 8.073 8.056 8.036 8.057 8.065 0.033 0.030 0.026 0.024 0.028 A 104364
 3160.53743 8.064 8.049 8.060 8.068 8.066 0.034 0.031 0.027 0.025 0.029 A 104660
 3163.55143 8.058 8.015 8.069 8.060 8.057 0.029 0.030 0.025 0.022 0.024 A 104993
 3449.65716 8.030 8.025 8.033 8.026 8.027 0.057 0.088 0.045 0.046 0.052 B 135073
 1958.68655 8.067 8.067 8.075 8.075 8.066 0.026 0.041 0.034 0.024 0.027 A 10222
 2038.50786 8.055 8.046 8.045 8.046 8.050 0.032 0.064 0.027 0.023 0.026 A 19058
 2062.51108 8.065 8.034 8.045 8.053 8.060 0.037 0.066 0.034 0.030 0.033 A 21487
 2080.49620 8.062 8.033 8.021 8.043 8.046 0.030 0.062 0.031 0.023 0.025 A 22837
 2827.51170 29.999 29.999 29.999 29.999 29.999 0.062 0.062 0.056 0.053 0.059 C 62165
 3373.86784 8.118 8.218 8.125 8.108 8.110 0.047 0.094 0.050 0.043 0.045 B 125393
 3393.81063 8.047 8.015 8.028 8.034 8.041 0.043 0.085 0.043 0.038 0.040 B 127058
 3448.74536 8.048 7.970 8.030 8.039 8.048 0.038 0.053 0.040 0.036 0.036 A 134942
 3450.67994 8.087 8.048 8.067 8.077 8.082 0.031 0.049 0.031 0.027 0.029 A 135260
 1868.86654 8.078 8.099 8.060 8.066 8.075 0.035 0.053 0.034 0.026 0.030 A 181
 1870.82094 8.045 7.972 8.023 8.033 8.043 0.037 0.080 0.037 0.030 0.032 B 471
 1872.82146 8.083 8.068 8.073 8.076 8.082 0.033 0.066 0.033 0.025 0.028 A 762
 1874.81442 8.091 8.054 8.073 8.080 8.087 0.035 0.075 0.035 0.027 0.030 B 1083
 1876.81331 8.078 8.078 8.081 8.076 8.078 0.029 0.055 0.032 0.023 0.025 A 1404
 1878.80549 8.079 8.126 8.076 8.076 8.077 0.030 0.044 0.030 0.023 0.026 A 1718
 1880.80045 8.069 8.074 8.054 8.059 8.068 0.032 0.048 0.034 0.025 0.027 A 2026
 1884.82174 8.069 8.036 8.058 8.062 8.066 0.029 0.042 0.029 0.022 0.024 A 2343
 1886.79595 8.075 8.080 8.071 8.071 8.076 0.030 0.040 0.030 0.023 0.026 A 2652
 1888.79752 8.057 8.037 8.047 8.048 8.052 0.039 0.059 0.034 0.029 0.032 A 2972
 1902.77807 8.052 8.015 8.050 8.055 8.050 0.028 0.039 0.029 0.021 0.023 A 3570
 1904.74455 8.119 8.084 8.100 8.113 8.117 0.030 0.055 0.031 0.023 0.026 A 3874
 1905.80323 8.061 8.045 8.053 8.050 8.059 0.027 0.040 0.030 0.021 0.023 A 4062
