JD-2440000| Hpmag |s.e. |Tflg
7857.79336| 8.1884|0.008|  0
7857.80770| 8.1895|0.010|  0
7884.71791| 8.1842|0.011|  0
7884.73226| 8.1783|0.012|  0
7904.44828| 8.1833|0.011|  0
7904.46259| 8.1749|0.009|  1
7904.62605| 8.1802|0.010|  0
7904.64039| 8.1987|0.010|  0
7904.71495| 8.3747|0.010|  0
7904.72931| 8.3277|0.011|  2
8019.35539| 8.2190|0.017|  2
8019.36971| 8.1954|0.011|  0
8019.44428| 8.2120|0.011|  0
8019.45859| 8.1990|0.015|  0
8044.23452| 8.3571|0.010|  0
8044.24884| 8.3831|0.009|  0
8044.32340| 8.1861|0.011|  0
8044.33772| 8.1939|0.011|  0
8069.11279| 8.1811|0.011|  0
8069.12712| 8.1839|0.011|  0
8069.20169| 8.1976|0.016|  0
8069.21600| 8.1727|0.013|  1
8204.74421| 8.1864|0.009|  0
8204.75853| 8.1986|0.009|  0
8204.83310| 8.1844|0.009|  0
8204.84742| 8.1948|0.010|  0
8224.29590| 8.1897|0.019|  0
8224.31022| 8.1544|0.013|  0
8224.38480| 8.1840|0.013|  0
8224.39912| 8.2026|0.018|  0
8366.48566| 8.3883|0.010|  0
8366.49996| 8.3741|0.013|  0
8366.57455| 8.1966|0.010|  0
8366.58887| 8.1775|0.010|  0
8366.84121| 8.1762|0.016|  0
8366.85551| 8.1753|0.011| 16
8381.14985| 8.1809|0.010|  0
8381.16420| 8.1810|0.009|  0
8381.23874| 8.1915|0.011|  8
8450.26735| 8.1780|0.009|  0
8450.35623| 8.3378|0.010|  0
8461.28781| 8.1858|0.010|  0
8461.30213| 8.2027|0.010|  0
8461.37671| 8.3340|0.014|  0
8461.39102| 8.2872|0.010|  0
8461.46560| 8.1983|0.012|  0
8461.47991| 8.1991|0.008|  0
8461.55448| 8.1633|0.013|  2
8553.33753| 8.1768|0.012|  0
8553.35188| 8.1845|0.012|  0
8553.51532| 8.1795|0.012|  0
8553.52966| 8.1825|0.010|  0
8553.60421| 8.1793|0.008|  0
8553.61853| 8.1758|0.009|  0
8553.69312| 8.1788|0.014|  0
8563.73733| 8.0305|0.011| 16
8563.75167| 8.1648|0.008|  0
8563.82622| 8.1965|0.011|  0
8563.84058| 8.1731|0.011|  0
8563.91514| 8.1832|0.011|  0
8563.92946| 8.1847|0.010|  0
8628.79115| 8.1752|0.008|  0
8628.95462| 8.1848|0.011|  0
8628.96892| 8.1940|0.013|  0
8629.04351| 8.1771|0.009|  0
8629.05785| 8.1810|0.009|  0
8643.17622| 8.1681|0.010|  0
8643.19057| 8.2003|0.010|  0
8643.26511| 8.3699|0.012|  0
8643.27945| 8.2995|0.010|  0
8643.35401| 8.1553|0.015|  0
8643.36835| 8.1957|0.010|  0
8643.44290| 8.1797|0.010|  0
8643.45725| 8.1752|0.010|  0
8759.85987| 8.1695|0.013|  0
8759.87422| 8.1840|0.009|  0
8759.94878| 8.1847|0.017|  0
8788.29053| 8.3876|0.010|  0
8788.30489| 8.3726|0.010|  0
8788.37943| 8.1935|0.009|  0
8788.39375| 8.1729|0.016|  0
8809.17208| 8.1640|0.014|  2
8809.18639| 8.1691|0.013|  0
8809.26096| 8.2094|0.014|  0
8809.27528| 8.1778|0.016|  0
8809.34985| 8.1794|0.013|  0
8944.38078| 8.1853|0.011|  2
8944.39508| 8.1858|0.011|  0
8968.94770| 8.1727|0.010|  0
