title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	------	-------	------------	----------	----------	-----------
2411454.590651	1890.235865	 8.12	 0.36	12.96	156.15369	-19.09210	-81.8	0.217	i00898	186	0	1349452800	441721	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2411494.551360	1890.345346	 9.13	 0.45	12.44	156.15298	-19.09210	 82.9	0.263	b05072	184	301989888	1349127168	1369699	576	0.000700	25,28	10,11,17,19,21,22,28,30	6,9
2412230.523668	1892.360720	 8.53	 0.37	12.68	156.15060	-19.09020	-41.5	0.330	b07555	184	310378624	1349125120	608788	721	0.000700	7,23,25,28	10,17,19,21,22,28,30	0,4,6,7,9
2412585.600547	1893.331782	 8.17	 0.28	12.99	156.15307	-19.09256	 70.8	0.222	b09252	184	128	1349454848	289999	593	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,4,6,9
2412939.591498	1894.301621	 8.28	 0.28	14.46	156.15430	-19.09251	-78.0	0.318	b10978	184	128	1345260544	201446	593	0.000700	7	10,11,16,17,18,19,21,28,30	0,4,6,9
2413324.576294	1895.356373	 8.51	 0.52	13.69	156.15365	-19.09294	-55.9	0.249	b13243	184	128	1349454848	907818	593	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,4,6,9
2413661.604766	1896.278975	 9.00	 0.29	13.18	156.15264	-19.09323	 84.8	0.217	b15580	184	8388608	1349387264	1244975	704	0.000700	23	10,17,18,19,21,22,28,30	6,7,9
2413693.557419	1896.366277	 8.86	 0.76	13.64	156.15392	-19.09240	 75.5	0.160	b15840	184	128	1349452800	641575	720	0.000700	7	10,16,17,18,19,21,22,28,30	4,6,7,9
2413894.831887	1896.916207	 8.26	 0.22	14.02	156.15393	-19.09229	-77.8	0.270	b18144	184	128	1349454850	507363	593	0.000700	7	1,10,11,16,17,18,19,21,22,28,30	0,4,6,9
2413895.837557	1896.918955	 8.75	 0.29	13.12	156.15409	-19.09258	 68.4	0.375	b18176	184	128	1349452800	900922	721	0.000700	7	10,16,17,18,19,21,22,28,30	0,4,6,7,9
2414077.526768	1897.416512	 7.95	 0.40	14.04	156.15486	-19.09177	 67.2	0.378	b19294	184	41943168	1349389312	502452	593	0.000700	7,23,25	10,11,17,18,19,21,22,28,30	0,4,6,9
2414355.650035	1898.178493	 8.48	 0.35	14.01	156.15297	-19.09184	-67.6	0.293	b21017	184	128	1349454848	559749	592	0.000700	7	10,11,16,17,18,19,21,22,28,30	4,6,9
2414375.658100	1898.233310	 8.22	 0.36	13.62	156.15430	-19.09193	 69.0	0.367	b21068	184	128	1349454848	459218	592	0.000700	7	10,11,16,17,18,19,21,22,28,30	4,6,9
2414408.597415	1898.323555	 8.43	 0.53	13.69	156.15330	-19.09320	-88.3	0.243	b21297	184	128	1349454848	756381	593	0.000700	7	10,11,16,17,18,19,21,22,28,30	0,4,6,9
2414441.511570	1898.413730	 8.74	 0.33	13.51	156.15328	-19.09289	-70.8	0.345	b21544	184	33554560	1349389312	483369	593	0.000700	7,25	10,11,17,18,19,21,22,28,30	0,4,6,9
2414749.645279	1899.257932	 8.99	 0.36	12.52	156.15331	-19.09273	-75.5	0.316	b22431	184	0	1349452800	324934	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2414751.604064	1899.263299	 8.05	 0.37	14.22	156.15431	-19.09181	 76.6	0.441	b22491	184	0	1349452800	142528	704	0.000700		10,16,17,18,19,21,22,28,30	6,7,9
2414755.605632	1899.274262	 8.12	 0.14	12.56	156.15535	-19.09312	 80.6	0.205	ac00276	190	0	1349451776	498024	384	0.000700		16,17,18,19,21,22,28,30	7,8
